** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2031099	  745.1	  471.5	 1000.0	...
2031100	  745.1	  471.5	 1000.0	...
2031101	  745.1	  471.5	 1000.0	...
2031102	  745.1	  471.5	 1000.0	...
2031103	  745.1	  471.5	 1000.0	...
2031104	  745.1	  471.5	 1000.0	...
MSG	2031105 SYNCTIME
MSG	2031105 !V TARGET_POS TARG1 (265, 473) 1 0
2031105	  745.1	  471.5	 1000.0	...
2031106	  745.1	  471.5	 1000.0	...
2031107	  745.1	  471.5	 1000.0	...
2031108	  745.1	  471.5	 1000.0	...
2031109	  745.1	  471.5	 1000.0	...
2031110	  745.1	  471.5	 1000.0	...
2031111	  745.1	  471.5	 1000.0	...
2031112	  745.1	  471.5	 1000.0	...
2031113	  745.1	  471.5	 1000.0	...
2031114	  745.1	  471.5	 1000.0	...
2031115	  745.1	  471.5	 1000.0	...
2031116	  745.1	  471.5	 1000.0	...
2031117	  745.1	  471.5	 1000.0	...
2031118	  745.1	  471.5	 1000.0	...
2031119	  745.1	  471.5	 1000.0	...
2031120	  745.1	  471.5	 1000.0	...
2031121	  745.1	  471.5	 1000.0	...
MSG	2031122 SYNCTIME
MSG	2031122 !V TARGET_POS TARG1 (266, 473) 1 0
2031122	  745.1	  471.5	 1000.0	...
2031123	  745.1	  471.5	 1000.0	...
2031124	  745.1	  471.5	 1000.0	...
2031125	  745.1	  471.5	 1000.0	...
2031126	  745.1	  471.5	 1000.0	...
2031127	  745.1	  471.5	 1000.0	...
2031128	  745.1	  471.5	 1000.0	...
2031129	  745.1	  471.5	 1000.0	...
2031130	  745.1	  471.5	 1000.0	...
2031131	  745.1	  471.5	 1000.0	...
2031132	  745.1	  471.5	 1000.0	...
2031133	  745.1	  471.5	 1000.0	...
2031134	  745.1	  471.5	 1000.0	...
2031135	  745.1	  471.5	 1000.0	...
2031136	  745.1	  471.5	 1000.0	...
2031137	  745.1	  471.5	 1000.0	...
MSG	2031138 SYNCTIME
MSG	2031138 !V TARGET_POS TARG1 (268, 473) 1 0
2031138	  745.1	  471.5	 1000.0	...
2031139	  745.1	  471.5	 1000.0	...
2031140	  745.1	  471.5	 1000.0	...
